配置名,创建日期,启用,备注,配置值
CAN_COPY,2025年2月25日 10:57,No,"是否允许用户复制网页文字 true 是 , false 否",true
GLOBAL_JS,2025年2月25日 10:57,Yes,4.2.0版本开始支持：在代码里写JS很麻烦，干脆在Notion里写；这里的JS将直接在网站中运行注入。,console.log('test');
TITLE,2025年2月25日 10:57,Yes,站点标题直接读取数据库的标题，无需在此配置,速虎前沿
CONTACT_EMAIL,2025年2月25日 10:57,Yes,联系邮箱,rol@thooh.com
FONT_URL,2025年2月25日 10:57,No,WEB_FONT 字体，在4.4.4版本中支持在NOTION_CONFIG设置。," [
""https:notion://npm.elemecdn.com/lxgw-wenkai-webfont@1.6.0/style.css"",
""https:notion://fonts.googleapis.com/css?family=Bitter&display=swap"",
""https:notion://fonts.googleapis.com/css2?family=Noto+Sans+SC:wght@300&display=swap"",
""https:notion://fonts.googleapis.com/css2?family=Noto+Serif+SC:wght@300&display=swap""
]"
INLINE_CONFIG,2025年2月25日 10:57,No,"JSON格式注意要用英文半角双引号 """"。
若无双引号或用中文双引号 “” 会错误 
多行配置，用于批量导入json格式的配置。V4.4.3 后支持","{ ""TEST"" : ""测试值"" }"
WIDGET_PET,2025年2月25日 10:57,No,关闭宠物挂件,false
FONT_STYLE,2025年2月25日 10:57,No,"字体前者控制非衬线，后者控制粗细，留空是默认粗细
[font-sans,font-serif] , [font-light,font-bold]",font-serif font-light
CONTACT_TELEGRAM,2025年2月25日 10:57,No,跳转telegram,https://telegram.org
KEYWORDS,2025年2月25日 10:57,Yes,关键词SEO，用英文逗号隔开,"速虎前沿,thooh,blog,博客"
GLOBAL_CSS,2025年2月25日 10:57,No,"4.2.0版本开始支持：在代码里写CSS很麻烦，干脆在Notion里写；

这里的css将背景换成了一张图片。
编写CSS时请注意使用英文半角空格，而非中文全角空格.

底部表示将所有主题的字体更改为落霞文楷，自定义字体旧版本需要改动blog.config.js ，之后的新版本中，建议直接在这里编辑font-family的css样式。","#wrapper {
background-image: url(https://www.notion.so/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2Fdccb8a16-2b2a-464d-94c4-2bc12e5e0701%2F9c498771-1b07-4524-beeb-8dc0d75e56b8%2FUntitled.png?table=block&id=0e5cfcc3-5d8f-4413-9121-2216851a7078&t=0e5cfcc3-5d8f-4413-9121-2216851a7078);
background-position: center;
background-repeat: no-repeat;
background-size: 100% 100%;
}


[id^=""theme-""] {
  font-family: LXGW WenKai;
}"
CUSTOM_MENU,2025年2月25日 10:57,Yes,二级菜单 ，在4.0的版本后默认开启,true
POST_SHARE_BAR_ENABLE,2025年2月25日 10:57,No,是否文章分享功能,true
THEME,2025年2月25日 10:57,Yes,"网站主题,建议在blog.config.js 和环境变量中配置此项，从而让站点有更好的性能",gitbook
BIO,2025年2月25日 10:57,Yes,副标题放在标题栏,thooh
POST_URL_PREFIX,2025年2月25日 10:57,No,,%category%
LINK,2025年2月25日 10:57,Yes,"上线后的站点网址，必填！
请务必在blog.config.js中或者环境变量中配置，以确保配置在项目编译时生效。
",https://blog.thooh.com
DESCRIPTION,2025年2月25日 10:57,Yes,站点描述直接读取数据库的描述题，无需在此配置,速虎前沿
HOME_BANNER_IMAGE,2025年2月25日 10:57,No,封面大图URL,https://source.unsplash.com/random
PREVIEW_CATEGORY_COUNT,2025年2月25日 10:57,No,首页预览的分类数量,2
CONTACT_WHATSAPP,2025年2月25日 10:57,No,whatsapp联系方式,https://www.whatsapp.com/
GREETING_WORDS,2025年2月25日 10:57,Yes,"hexo，matery主题欢迎语在此配置，英文逗号隔开 ,  即可支持多个欢迎语打字效果。",有志之人立长志，无志之人常立志
BLOG_FAVICON,2025年2月25日 10:57,No,站点在浏览器的小图标 favicon,https://cos.onewk.cn/img/202405011830005.ico
LANG,2025年2月25日 10:57,Yes,"网站默认语言 zh-CN,en-US 等",en-US
AUTHOR,2025年2月25日 10:57,Yes,网站管理者 姓名,thooh
PREVIEW_TAG_COUNT,2025年2月25日 10:57,No,首页预览的标签数量,5
POST_URL_PREFIX_MAPPING_CATEGORY,2025年2月25日 10:57,Yes,"在使用%category% 路径前缀时: 将url中的分类名映射成英文，效果如下：
【使用前】
xx.com/知行合一/slug
【使用后】
xx.com/learning/slug","{
""知行合一"":""learning"",
""技术分享"":""technology"",
""心情随笔"":""essay""
}"
SINCE,2025年2月25日 10:57,No,网站发布年份,2023
THEME_SWITCH,2025年2月25日 10:57,No,是否显示切换主题按钮,true
CUSTOM_RIGHT_CLICK_CONTEXT_MENU,2025年2月25日 10:57,Yes,是否用自定义菜单覆盖浏览器右键菜单,false
